system,language,granularity,tier,technique,projection,mojofm,a2a,ari,nested,clusters,mojofm_stdev,a2a_stdev,ari_stdev,entities_common
P-1,cpp,file,P,acdc,all-common,64.68,88.5179,,,52.0,,,,
P-1,cpp,file,P,acdc,pairwise,64.68,88.5179,,,70.0,,,,
P-1,cpp,file,P,arc,all-common,16.13,79.5235,,,13.0,,,,
P-1,cpp,file,P,arc,pairwise,16.13,79.5235,,,27.0,,,,
P-1,cpp,file,P,cc,all-common,12.35,78.19,,,1.0,,,,
P-1,cpp,file,P,cc,pairwise,12.35,78.19,,,3.0,,,,
P-1,cpp,file,P,dir,all-common,91.28,87.3021,,,86.0,,,,
P-1,cpp,file,P,dir,pairwise,91.28,87.3021,,,199.0,,,,
P-1,cpp,file,P,limbo,all-common,22.53,81.2823,,,18.0,,,,
P-1,cpp,file,P,limbo,pairwise,22.53,81.2823,,,27.0,,,,
P-1,cpp,file,P,pipeline,all-common,100.0,100.0,,,27.0,,,,
P-1,cpp,file,P,wca,all-common,12.94,78.3709,,,2.0,,,,
P-1,cpp,file,P,wca,pairwise,12.94,78.3709,,,27.0,,,,
abseil,cpp,file,oss,acdc,all-common,41.13,83.04,9.52,51.85,27,,,,
abseil,cpp,file,oss,acdc,pairwise,39.8,83.24,,,,,,,809
abseil,cpp,file,oss,arc,pairwise,25.15,81.92,,,,,,,356
abseil,cpp,file,oss,cc,all-common,19.49,79.91,0.0,0.0,1,,,,
abseil,cpp,file,oss,cc,pairwise,17.74,79.47,,,,,,,809
abseil,cpp,file,oss,dir,all-common,97.85,90.01,62.83,100.0,31,,,,
abseil,cpp,file,oss,dir,pairwise,97.47,89.66,,,,,,,809
abseil,cpp,file,oss,floor,all-common,89.92,85.13,44.06,100.0,90,,,,
abseil,cpp,file,oss,limbo,all-common,35.08,81.47,4.23,25.0,20,,,,
abseil,cpp,file,oss,limbo,pairwise,33.08,81.36,,,,,,,809
abseil,cpp,file,oss,llm,llm-rerun-mean,98.84,97.56,85.78,,,0.23,0.07,0.12,
abseil,cpp,file,oss,pipeline,all-common,95.16,98.76,93.55,71.43,14,,,,
abseil,cpp,file,oss,propose,all-common,100.0,100.0,100.0,100.0,15,,,,
abseil,cpp,file,oss,wca,all-common,31.18,82.77,11.42,75.0,20,,,,
abseil,cpp,file,oss,wca,pairwise,28.9,82.52,,,,,,,809
bash,cpp,file,oss,acdc,all-common,60.48,80.67,16.29,72.22,54,,,,
bash,cpp,file,oss,acdc,pairwise,60.48,80.67,,,,,,,260
bash,cpp,file,oss,arc,all-common,32.26,84.04,3.65,41.67,12,,,,
bash,cpp,file,oss,arc,pairwise,32.26,84.04,,,,,,,260
bash,cpp,file,oss,cc,all-common,62.5,90.47,38.04,57.14,7,,,,
bash,cpp,file,oss,cc,pairwise,62.5,90.47,,,,,,,260
bash,cpp,file,oss,dir,all-common,91.94,96.99,78.76,63.64,11,,,,
bash,cpp,file,oss,dir,pairwise,91.94,96.99,,,,,,,260
bash,cpp,file,oss,floor,all-common,91.94,97.66,85.69,81.25,16,,,,
bash,cpp,file,oss,limbo,all-common,51.61,85.07,15.17,50.0,12,,,,
bash,cpp,file,oss,limbo,pairwise,51.61,85.07,,,,,,,260
bash,cpp,file,oss,llm,llm-rerun-mean,84.19,92.56,57.58,,,1.62,0.22,1.85,
bash,cpp,file,oss,pipeline,all-common,93.15,98.12,86.36,70.0,10,,,,
bash,cpp,file,oss,propose,all-common,82.66,95.28,72.95,50.0,6,,,,
bash,cpp,file,oss,wca,all-common,52.82,89.02,18.91,84.62,13,,,,
bash,cpp,file,oss,wca,pairwise,52.82,89.02,,,,,,,260
eshop,cs,target,oss,acdc,all-common,6.67,75.86,-1.45,50.0,2,,,,
eshop,cs,target,oss,acdc,pairwise,6.67,75.86,,,,,,,19
eshop,cs,target,oss,arc,pairwise,33.33,89.36,,,,,,,19
eshop,cs,target,oss,cc,all-common,6.67,75.86,-1.45,50.0,2,,,,
eshop,cs,target,oss,cc,pairwise,6.67,75.86,,,,,,,19
eshop,cs,target,oss,dir,all-common,33.33,80.77,0.0,100.0,19,,,,
eshop,cs,target,oss,dir,pairwise,33.33,80.77,,,,,,,19
eshop,cs,target,oss,floor,all-common,33.33,80.77,0.0,100.0,19,,,,
eshop,cs,target,oss,limbo,all-common,26.67,85.87,1.49,57.14,7,,,,
eshop,cs,target,oss,limbo,pairwise,26.67,85.87,,,,,,,19
eshop,cs,target,oss,llm,llm-rerun-mean,86.67,97.87,75.2,,,4.22,0.67,6.8,
eshop,cs,target,oss,pipeline,all-common,66.67,88.89,45.07,100.0,14,,,,
eshop,cs,target,oss,propose,all-common,0.0,73.26,0.0,0.0,1,,,,
eshop,cs,target,oss,wca,all-common,20.0,86.02,-0.71,87.5,8,,,,
eshop,cs,target,oss,wca,pairwise,20.0,86.02,,,,,,,19
itk,cpp,file,oss,acdc,all-common,70.26,73.19,2.86,87.91,1034,,,,
itk,cpp,file,oss,acdc,pairwise,65.4,72.83,,,,,,,7335
itk,cpp,file,oss,arc,pairwise,49.17,81.34,,,,,,,3747
itk,cpp,file,oss,cc,all-common,48.41,85.45,-6.63,97.83,46,,,,
itk,cpp,file,oss,cc,pairwise,30.68,81.68,,,,,,,7335
itk,cpp,file,oss,dir,all-common,93.88,80.38,11.05,98.58,212,,,,
