system,language,granularity,ref_grade,ref_clusters,ref_entities,axis,technique,metric,value,projection,source,tier
abseil,cpp,file,GT-exp,21,809,A1,+L2,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A1,+L2,edges,83,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A1,+L3,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A1,+L3,edges,83,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A1,L0,edge_f1,0.9753,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A1,L0,edges,79,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A1,L0+L1,edge_f1,0.9753,edge-vs-full,rq3-ablation.json,oss
abseil,cpp,file,GT-exp,21,809,A1,L0+L1,edges,79,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A1,+L2,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A1,+L2,edges,17,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A1,+L3,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A1,+L3,edges,17,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A1,L0,edge_f1,0.64,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A1,L0,edges,8,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A1,L0+L1,edge_f1,0.64,edge-vs-full,rq3-ablation.json,oss
bash,cpp,file,GT-pub,14,373,A1,L0+L1,edges,8,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A1,+L2,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A1,+L2,edges,30,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A1,+L3,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A1,+L3,edges,30,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A1,L0,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A1,L0,edges,30,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A1,L0+L1,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
eshop,cs,target,GT-doc,9,19,A1,L0+L1,edges,30,edge-vs-full,rq3-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A1,+L2,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A1,+L2,edges,23,edge-vs-full,rq3-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A1,+L3,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A1,+L3,edges,23,edge-vs-full,rq3-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A1,L0,edge_f1,0.85,edge-vs-full,rq3-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A1,L0,edges,17,edge-vs-full,rq3-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A1,L0+L1,edge_f1,0.85,edge-vs-full,rq3-ablation.json,oss
itk,cpp,file,GT-pub,13,7657,A1,L0+L1,edges,17,edge-vs-full,rq3-ablation.json,oss
