system,language,granularity,ref_grade,ref_clusters,ref_entities,axis,technique,metric,value,projection,source,tier
P-1,cpp,file,GT-diag,28,50-100,A2,dir_leaf,a2a,86.91,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,dir_leaf,clusters,93.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,dir_leaf,mojofm,90.47,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,dir_top,a2a,84.28,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,dir_top,clusters,5.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,dir_top,mojofm,37.13,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,edge_cc,a2a,79.08,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,edge_cc,clusters,17.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,edge_cc,mojofm,13.23,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,hand_curation,a2a,100.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,hand_curation,clusters,27.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,hand_curation,mojofm,100.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,none,a2a,93.72,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,none,clusters,49.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,none,mojofm,96.87,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,propose_all,a2a,81.21,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,propose_all,clusters,6.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,propose_all,mojofm,24.47,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,RQ5,pipeline,identical_rate,100.0,n/a,determinism.json,P
P-1,cpp,file,GT-diag,28,50-100,RQ5,pipeline,runs,2.0,n/a,determinism.json,P
P-1,cpp,file,GT-diag,28,50-100,RQ7,pipeline,cold_s,676.7,cold-warm,perf/rq7-perf.json,P
P-1,cpp,file,GT-diag,28,50-100,RQ7,pipeline,cold_within_budget,1.0,cold-warm,perf/rq7-perf.json,P
P-1,cpp,file,GT-diag,28,50-100,RQ7,pipeline,files,1558.0,cold-warm,perf/rq7-perf.json,P
P-1,cpp,file,GT-diag,28,50-100,RQ7,pipeline,kloc,123.6,cold-warm,perf/rq7-perf.json,P
P-1,cpp,file,GT-diag,28,50-100,RQ7,pipeline,speedup,3.29,cold-warm,perf/rq7-perf.json,P
P-1,cpp,file,GT-diag,28,50-100,RQ7,pipeline,targets,52.0,cold-warm,perf/rq7-perf.json,P
P-1,cpp,file,GT-diag,28,50-100,RQ7,pipeline,warm_s,205.5,cold-warm,perf/rq7-perf.json,P
P-1,cpp,file,GT-diag,28,50-100,RQ7,pipeline,warm_within_budget,0.0,cold-warm,perf/rq7-perf.json,P
