# RQ6 real-history worksheet — nopcommerce release-4.70.0..release-4.80.0. Fill ONLY `label` and `note`. label = one of: architectural | non-architectural | extraction-noise. architectural = a real change of the system's build-graph structure a maintainer would want flagged; non-architectural = a real change with no architectural significance (e.g. tooling/test/packaging churn); extraction-noise = not a real change of the code (extractor artefact). hint = commits between the releases touching the finding's build file(s). Rater instructions: docs/rq6-history-labelling-runbook.md.
finding_id,kind,subject,counterpart,hint,label,note
release-4.70.0__release-4.80.0-001,new_target,csharp:csproj:src/Plugins/Nop.Plugin.Misc.OmnibusDirective/Nop.Plugin.Misc.OmnibusDirective.csproj,,5579f509 #7428 Path refactoring in .csproj files of plugins | 9fe8dbb3 Update to .NET 9 | 650f92a9 Added Omnibus Directive promo plugin,,
release-4.70.0__release-4.80.0-002,new_target,csharp:csproj:src/Plugins/Nop.Plugin.Misc.PowerBI/Nop.Plugin.Misc.PowerBI.csproj,,5579f509 #7428 Path refactoring in .csproj files of plugins | 9fe8dbb3 Update to .NET 9 | e64a06cf Added Power BI promo plugin,,
release-4.70.0__release-4.80.0-003,new_target,csharp:csproj:src/Plugins/Nop.Plugin.Payments.AmazonPay/Nop.Plugin.Payments.AmazonPay.csproj,,5579f509 #7428 Path refactoring in .csproj files of plugins | 9fe8dbb3 Update to .NET 9 | 4b7d14ce #6884 Amazon Pay plugin,,
release-4.70.0__release-4.80.0-004,new_target,csharp:csproj:src/Plugins/Nop.Plugin.Search.Lucene/Nop.Plugin.Search.Lucene.csproj,,5579f509 #7428 Path refactoring in .csproj files of plugins | 9fe8dbb3 Update to .NET 9 | 03ac6602 Added Lucene promo plugin,,
release-4.70.0__release-4.80.0-005,new_target,csharp:csproj:src/Plugins/Nop.Plugin.Widgets.Swiper/Nop.Plugin.Widgets.Swiper.csproj,,5579f509 #7428 Path refactoring in .csproj files of plugins | 9fe8dbb3 Update to .NET 9 | a8efca00 #7302 Renamed Swiper plugin,,
release-4.70.0__release-4.80.0-006,removed_target,csharp:csproj:src/Plugins/Nop.Plugin.Widgets.NivoSlider/Nop.Plugin.Widgets.NivoSlider.csproj,,e82f4b03 #7302 Added Swiper widget | b1396fde  #7172 Fixed display error on the order list page in the admin area,,
release-4.70.0__release-4.80.0-007,new_edge,csharp:csproj:src/Plugins/Nop.Plugin.Misc.OmnibusDirective/Nop.Plugin.Misc.OmnibusDirective.csproj,csharp:csproj:src/Presentation/Nop.Web.Framework/Nop.Web.Framework.csproj,650f92a9 Added Omnibus Directive promo plugin | b1396fde  #7172 Fixed display error on the order list page in the admin area,,
release-4.70.0__release-4.80.0-008,new_edge,csharp:csproj:src/Plugins/Nop.Plugin.Misc.PowerBI/Nop.Plugin.Misc.PowerBI.csproj,csharp:csproj:src/Presentation/Nop.Web.Framework/Nop.Web.Framework.csproj,e64a06cf Added Power BI promo plugin | b1396fde  #7172 Fixed display error on the order list page in the admin area,,
release-4.70.0__release-4.80.0-009,new_edge,csharp:csproj:src/Plugins/Nop.Plugin.Payments.AmazonPay/Nop.Plugin.Payments.AmazonPay.csproj,csharp:csproj:src/Presentation/Nop.Web/Nop.Web.csproj,4b7d14ce #6884 Amazon Pay plugin | b1396fde  #7172 Fixed display error on the order list page in the admin area,,
release-4.70.0__release-4.80.0-010,new_edge,csharp:csproj:src/Plugins/Nop.Plugin.Search.Lucene/Nop.Plugin.Search.Lucene.csproj,csharp:csproj:src/Presentation/Nop.Web.Framework/Nop.Web.Framework.csproj,03ac6602 Added Lucene promo plugin | b1396fde  #7172 Fixed display error on the order list page in the admin area,,
release-4.70.0__release-4.80.0-011,new_edge,csharp:csproj:src/Plugins/Nop.Plugin.Widgets.Swiper/Nop.Plugin.Widgets.Swiper.csproj,csharp:csproj:src/Presentation/Nop.Web/Nop.Web.csproj,a8efca00 #7302 Renamed Swiper plugin | b1396fde  #7172 Fixed display error on the order list page in the admin area,,
release-4.70.0__release-4.80.0-012,removed_edge,csharp:csproj:src/Plugins/Nop.Plugin.Widgets.NivoSlider/Nop.Plugin.Widgets.NivoSlider.csproj,csharp:csproj:src/Presentation/Nop.Web/Nop.Web.csproj,e82f4b03 #7302 Added Swiper widget | b1396fde  #7172 Fixed display error on the order list page in the admin area,,
