# RQ9 rater worksheet (eval Â§10a) â€” assign every entity a cluster name, use the,
# project's own documented component names where they exist. Write EXCLUDE to mark an,,
"# entity out-of-scope (tests, samples, dead code) â€” record why in the notes column.",,
"# Blinding: do NOT consult the tool's output, any reference.rsf, or another rater.",,
"entity,cluster,notes",,
"csharp:csproj:backend/extensions/Squidex.Extensions/Squidex.Extensions.csproj,,",[Parent container: backend] Extensions,
"csharp:csproj:backend/i18n/translator/Squidex.Translator/Squidex.Translator.csproj,,",[Parent container: backend] Translator,
"csharp:csproj:backend/src/Migrations/Migrations.csproj,,",[Parent container: backend] Data,
"csharp:csproj:backend/src/Squidex.Data.EntityFramework/Squidex.Data.EntityFramework.csproj,,",[Parent container: backend] Data,
"csharp:csproj:backend/src/Squidex.Data.MongoDb/Squidex.Data.MongoDb.csproj,,", [Parent container: backend] Data,
"csharp:csproj:backend/src/Squidex.Domain.Apps.Core.Model/Squidex.Domain.Apps.Core.Model.csproj,,",[Parent container: backend] Domain,
"csharp:csproj:backend/src/Squidex.Domain.Apps.Core.Operations/Squidex.Domain.Apps.Core.Operations.csproj,,",[Parent container: backend] Domain,
"csharp:csproj:backend/src/Squidex.Domain.Apps.Entities/Squidex.Domain.Apps.Entities.csproj,,",[Parent container: backend] Domain,
"csharp:csproj:backend/src/Squidex.Domain.Apps.Events/Squidex.Domain.Apps.Events.csproj,,",[Parent container: backend] Domain,
,[Parent container: backend] Domain,
"csharp:csproj:backend/src/Squidex.Infrastructu"csharp:csproj:backend/src/Squidex.Domain.Users/Squidex.Domain.Users.csproj,,"re/Squidex.Infrastructure.csproj,,",[Parent container: backend] Infrastructure,MIXED
"csharp:csproj:backend/src/Squidex.Shared/Squidex.Shared.csproj,,",[Parent container: backend] Domain,
"csharp:csproj:backend/src/Squidex.Web/Squidex.Web.csproj,,",[Parent container: backend] API,
"csharp:csproj:backend/src/Squidex/Squidex.csproj,,",[Parent container: backend] Domain,
"csharp:csproj:backend/tools/GenerateLanguages/GenerateLanguages.csproj,,",EXCLUDE,
"csharp:csproj:frontend/generator/Generator/Generator.csproj,,",[Parent container: Frontend] Generator,
"csharp:csproj:tools/TestSuite/TestSuite.ApiTests/TestSuite.ApiTests.csproj,,",EXCLUDE,
"csharp:csproj:tools/TestSuite/TestSuite.LoadTests/TestSuite.LoadTests.csproj,,",EXCLUDE,
"csharp:csproj:tools/TestSuite/TestSuite.Shared/TestSuite.Shared.csproj,,",EXCLUDE,
,,
,,
"wall-clock: 18:40–19:40, total 60 min",,
